Year,Month,Organization Name - EN,Organization Name - FR,owner_org,Number of Informal Requests,Unique Packages
2025,2,Accessibility Standards Canada,Normes d’accessibilité Canada,casdo-ocena,6,1
2025,2,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs,atssc-scdata,3,3
2025,2,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,aafc-aac,113,10
2025,2,Asia-Pacific Foundation of Canada,Fondation Asie Pacifique du Canada,apfc-fapc,1,1
2025,2,Atlantic Pilotage Authority Canada,Administration de pilotage de l'Atlantique Canada,apa,6,1
2025,2,Atomic Energy of Canada Limited,"Énergie atomique du Canada, Limitée",aecl-eacl,999,1
2025,2,Belledune Port Authority,Administration portuaire de Belledune,bpa-apd,1,1
2025,2,Business Development Bank of Canada,Banque de développement du Canada,bdc,4,2
2025,2,Canada Border Services Agency,Agence des services frontaliers du Canada,cbsa-asfc,68,54
2025,2,Canada Development Investment Corporation,Corporation de développement des investissements du Canada,cdev,2,1
2025,2,Canada Infrastructure Bank,La Banque de l’infrastructure du Canada,cib-bic,11,9
2025,2,Canada Mortgage and Housing Corporation,Société canadienne d'hypothèques et de logement,cmhc-schl,18,10
2025,2,Canada Post,Postes Canada,cpc-scp,4,3
2025,2,Canada Revenue Agency,Agence du revenu du Canada,cra-arc,90,79
2025,2,Canada School of Public Service,École de la fonction publique du Canada,csps-efpc,1,1
2025,2,Canadian Air Transport Security Authority,Administration canadienne de la sûreté du transport aérien,catsa-acsta,1,1
2025,2,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments,cfia-acia,30,29
2025,2,Canadian Forces Morale and Welfare Services,Services de bien-être et moral des Forces canadiennes,cfmws-sbmfc,2,2
2025,2,Canadian Heritage,Patrimoine canadien,pch,38,32
2025,2,Canadian Human Rights Commission,Commission canadienne des droits de la personne,chrc-ccdp,7,6
2025,2,Canadian Institutes of Health Research,Instituts de recherche en santé du Canada,cihr-irsc,5,4
2025,2,Canadian Museum for Human Rights,Musée canadien pour les droits de la personne,cmhr-mcdp,1,1
2025,2,Canadian Museum of History,Musée canadien de l'histoire,cmc-mcc,1,1
2025,2,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire,cnsc-ccsn,12,12
2025,2,Canadian Radio-television and Telecommunications Commission,Conseil de la radiodiffusion et des télécommunications canadiennes,crtc,7,7
2025,2,Canadian Security Intelligence Service,Service canadien du renseignement de sécurité,csis-scrs,31,26
2025,2,Canadian Transportation Agency,Office des transports du Canada,cta-otc,7,4
2025,2,Civilian Review and Complaints Commission for the RCMP,Commission civile d'examen et de traitement des plaintes relatives à la Gendarmerie royale du Canada,cpc-cpp,4,4
2025,2,College of Immigration and Citizenship Consultants,Collège des Consultants en Immigration et en Citoyenneté,cicc-ccic,3,2
2025,2,Communications Security Establishment Canada,Centre de la sécurité des télécommunications Canada,csec-cstc,2,2
2025,2,Copyright Board Canada,Commission du droit d'auteur du Canada,cb-cda,1,1
2025,2,Correctional Service of Canada,Service correctionnel du Canada,csc-scc,36,32
2025,2,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada,aandc-aadnc,16,15
2025,2,Department of Finance Canada,Ministère des Finances Canada,fin,58,56
